
2024/10/31 (20:40:13) | ===> btop++ v.1.4.0
2024/10/31 (20:40:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/31 (20:40:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (14:51:21) | ===> btop++ v.1.4.0
2024/11/01 (14:51:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/01 (14:51:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (11:35:24) | ===> btop++ v.1.4.0
2024/11/02 (11:35:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (11:35:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (20:03:32) | ===> btop++ v.1.4.0
2024/11/02 (20:03:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (20:03:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (08:23:46) | ===> btop++ v.1.4.0
2024/11/04 (08:23:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/04 (08:23:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (09:50:38) | ===> btop++ v.1.4.0
2024/11/04 (09:50:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/04 (09:50:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (19:40:19) | ===> btop++ v.1.4.0
2024/11/04 (19:40:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/04 (19:40:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (20:59:57) | ===> btop++ v.1.4.0
2024/11/05 (20:59:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/05 (20:59:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (08:18:47) | ===> btop++ v.1.4.0
2024/11/08 (08:18:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/08 (08:18:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (10:11:46) | ===> btop++ v.1.4.0
2024/11/08 (10:11:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/08 (10:11:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (10:30:50) | ===> btop++ v.1.4.0
2024/11/08 (10:30:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/08 (10:30:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (10:34:56) | ===> btop++ v.1.4.0
2024/11/08 (10:34:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/08 (10:34:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (15:05:20) | ===> btop++ v.1.4.0
2024/11/08 (15:05:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/08 (15:05:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (10:13:45) | ===> btop++ v.1.4.0
2024/11/09 (10:13:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/09 (10:13:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (11:12:49) | ===> btop++ v.1.4.0
2024/11/09 (11:12:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/09 (11:12:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (17:57:41) | ===> btop++ v.1.4.0
2024/11/09 (17:57:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/09 (17:57:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (13:28:29) | ===> btop++ v.1.4.0
2024/11/10 (13:28:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/10 (13:28:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (15:46:25) | ===> btop++ v.1.4.0
2024/11/10 (15:46:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
